Time	eastMoving_arrvCarCount_noise	westMoving_arrvCarCount_noise	eastMoving_dptCarCount_noise	westMoving_dptCarCount_noise	westSideQueue	eastSideQueue	TrafficLight	phaseSigma	elapseTimeInGreen	carPassingTime_mean	eastMoving_arrvCarCount	westMoving_arrvCarCount	eastMoving_dptCarCount	westMoving_dptCarCount
30.0	2	3	1	2	1	0	0	2.832226834401472	16.201995364528955	4.0	2	3	1	2
60.0	3	4	2	5	1	0	20	4.403440790378424	0.25037185662794315	4.0	3	4	2	5
90.0	3	2	7	1	0	0	0	3.1580535626910047	4.501454894414187	4.0	4	2	6	1
120.0	5	2	3	3	0	0	20	2.5836578827187386	4.905147531691512	4.0	4	2	3	3
150.0	8	3	5	2	3	1	20	3.0843477127780696	13.342151430766961	4.0	8	3	5	2
180.0	4	5	9	0	1	6	20	0.49528226129822794	43.34215143076696	4.0	5	5	7	0
210.0	5	2	4	4	2	3	0	1.7502054485681402	17.310958371513774	4.0	4	2	4	4
240.0	3	6	0	8	5	1	0	2.7767592083731287	47.31095837151381	4.0	3	6	0	8
270.0	4	4	5	2	2	4	20	3.435785618336216	23.759543524414042	4.0	4	4	6	2
300.0	5	7	8	0	0	10	20	2.0887425560403843	53.759543524414	4.0	5	6	7	0
330.0	6	2	1	7	6	5	0	1.1522710410239743	27.911257443959713	4.0	6	2	1	6
360.0	7	2	1	7	11	1	20	4.004336074101109	4.846714204120687	4.0	7	2	1	7
390.0	8	1	6	0	13	2	20	2.1238789333697565	34.846714204120694	4.0	9	1	7	0
420.0	6	0	8	0	11	2	20	0.25395025042683317	64.84671420412064	4.0	5	0	7	0
450.0	1	5	7	0	4	7	20	3.9827306718820426	94.8467142041206	4.0	1	5	8	0
480.0	4	2	7	0	2	8	0	2.754289044581773	1.1998740271083648	4.0	4	2	7	0
510.0	9	3	0	7	10	5	0	2.429941113643475	31.199874027108436	4.0	8	4	0	7
540.0	5	2	0	7	15	0	0	0.7620369355500709	61.19987402710828	4.0	5	2	0	7
570.0	13	3	6	1	18	3	20	0.65797245305329	29.237963064449822	4.0	10	3	6	1
600.0	8	1	8	0	18	4	20	1.3548336604975706	59.23796306444989	4.0	8	1	8	0
630.0	2	1	6	0	13	5	20	0.19417984612389105	89.23796306444996	4.0	2	1	7	0
660.0	1	2	10	0	6	7	20	2.3416549500290156	119.23796306444983	4.0	1	2	8	0
690.0	2	2	1	8	8	1	0	4.032715436287037	27.65834504997104	4.0	2	2	1	7
720.0	6	2	5	2	7	2	20	1.9974642128949305	22.78291417686404	4.0	5	2	5	2
750.0	2	4	8	0	1	6	20	3.390988121964938	52.78291417686394	4.0	2	4	8	0
780.0	5	5	2	5	4	5	0	1.0486971274319368	23.269294861184175	4.0	4	5	2	5
810.0	5	1	1	8	7	0	20	1.4801042025558315	4.906949330073687	4.0	5	1	1	7
840.0	5	3	7	0	4	3	20	2.852604918757562	34.90694933007371	4.0	5	3	8	0
870.0	2	2	6	0	0	4	0	1.4153596381713744	2.503278562802393	4.0	2	2	7	0
900.0	2	3	2	7	0	1	0	3.055920087196465	5.490407301322092	4.0	2	3	2	6
930.0	5	4	2	5	2	2	20	3.6243348862473344	9.555122648499372	4.0	5	5	2	5
960.0	2	7	4	2	0	6	0	3.9043841251446496	9.962495044071431	4.0	2	7	5	2
990.0	3	1	0	6	3	0	0	0.3788148476559292	39.962495044071225	4.0	3	1	0	7
1020.0	3	4	5	2	0	2	0	3.202475571474812	4.840923023217959	4.0	3	4	6	2
1050.0	3	2	2	5	0	0	20	0.7440707849015311	6.9552770173177825	4.0	3	2	2	5
1080.0	2	2	2	2	0	0	20	2.862770652904474	5.392013932953124	4.0	2	2	2	2
1110.0	3	3	3	2	1	0	0	3.5830452781187416	4.5038225208834834	4.0	3	3	3	2
1140.0	10	3	5	2	4	3	20	0.8962177250512529	10.797209944689632	4.0	9	4	5	2
1170.0	2	4	6	2	1	4	0	1.3112141155997716	10.453621058277278	4.0	2	4	6	2
1200.0	8	4	0	8	10	1	0	3.6055210203332617	40.45362105827729	4.0	9	5	0	8
1230.0	4	3	5	2	8	3	20	1.845713942104645	22.639634160375902	4.0	4	3	5	2
1260.0	4	5	8	0	5	8	20	0.3614753742023349	52.63963416037627	4.0	4	5	7	0
1290.0	1	2	7	1	0	8	0	1.9690455058732774	5.7922052667201624	4.0	1	2	7	1
1320.0	1	1	0	7	1	1	0	3.814751635272909	35.79220526672026	4.0	1	1	0	8
1350.0	3	1	4	3	0	0	20	2.86560812084139	1.4045502353556003	4.0	4	1	4	3
1380.0	3	1	3	1	0	0	20	3.261517495386866	0.7918694123800378	4.0	3	1	3	1
1410.0	2	1	3	1	0	0	0	Infinity	18.93381613057508	4.0	2	1	3	1
1440.0	4	3	3	2	0	1	20	0.9398396658580666	11.71647942063461	4.0	4	3	3	2
1470.0	7	2	6	2	1	1	20	0.9807038775014085	21.426929286485947	4.0	7	2	6	2
1500.0	5	1	5	2	1	0	20	2.447526707801215	2.1189594183604186	4.0	5	1	5	2
1530.0	7	2	5	2	3	0	20	1.5643059053358805	10.08086785596711	4.0	7	2	5	2
1560.0	2	2	6	2	1	0	20	0.49405872301856313	3.5127188226258568	4.0	3	2	5	2
1590.0	4	1	5	1	0	0	20	0.8135016098869672	2.4740400894461345	4.0	4	1	5	1
1620.0	8	1	8	0	1	1	20	3.00204893282452	32.47404008944615	4.0	9	1	8	0
1650.0	2	3	3	4	0	0	20	2.3821039750391915	5.904260816953645	4.0	2	3	3	4
1680.0	4	6	2	6	2	0	20	0.021233306096142712	9.162515306947686	4.0	4	5	2	5
